65358,2681
302677,2586
98713,2573
5380,2489
615,2345
1136211,2234
546730,2024
318425,2003
59303,1249
632337,1217
22656,1216
87399,1199
24874,1178
61700,1094
9268,1086
17034,1045
643085,1031
87698,1020
199245,997
1228,936
1432140,911
50079,857
34397,844
249281,803
1695,785
49910,782
19403,760
900,760
563088,751
255294,714
173289,684
142794,682
1849109,666
23354,666
21186,657
8091,644
16176,643
3509,638
233,635
2176945,633
340628,625
81769,620
40347,620
144373,617
60761,588
111335,579
1200614,573
7116,548
12643,536
69824,535
355239,534
620360,525
592318,523
64767,523
98607,520
87053,512
1001985,504
62642,496
3820,496
366904,480
1783619,475
248164,467
53158,466
503969,461
1834662,460
556449,460
38889,454
261782,453
553613,449
708,444
23283,437
1583,437
281678,432
93652,417
249933,416
17516,415
263693,414
109702,411
215030,406
9664,403
55948,401
1410998,399
1727,399
607314,398
75500,396
6276,395
45382,393
3857,391
183367,389
73509,383
7532,383
5728,377
51428,369
403671,365
389966,364
39106,361
79910,359
647278,358
3244,354
572644,353
