8985,9403
259038,7261
157247,7181
29407,6958
25449,6206
34397,5669
218196,4940
19068,4687
9021,4506
96100,4363
139459,4357
4642,4302
5445,4154
69083,4012
82548,3825
464709,3763
816620,3478
315935,3385
56018,3340
12950,3339
94197,3258
182668,3240
114251,3229
519413,3183
497356,3154
965051,3079
263525,3024
70393,2971
10585,2945
848164,2839
18393,2826
133802,2825
343088,2732
106224,2709
33036,2643
1386886,2628
811,2625
790695,2620
206403,2530
113716,2503
333426,2459
139010,2434
45433,2382
31671,2379
383904,2321
16417,2292
616443,2285
425275,2276
6782,2269
87015,2215
417562,2167
128165,2155
14104,2143
157882,2087
1298762,2067
61337,2050
594235,2044
13249,2024
901048,1958
1831,1945
18936,1934
931340,1908
298479,1882
659025,1878
400654,1875
104184,1839
91914,1824
34211,1788
479863,1787
21677,1739
60518,1729
54680,1706
210578,1699
507674,1695
949476,1685
1668533,1662
956,1662
615754,1643
171056,1625
1908,1617
459897,1611
825568,1587
1249581,1574
938089,1547
17602,1533
1848600,1488
1348195,1469
358556,1443
464744,1431
1491895,1430
54420,1403
561731,1400
21632,1385
497418,1371
444991,1371
96656,1366
1055987,1363
6440,1353
1048572,1351
60,1351
