104349,7829
113962,3892
20862,2289
654031,2142
267887,1690
10661,1596
790387,1547
100297,1368
34258,1291
3207,1267
771848,1227
1628832,1149
14343,1146
61539,1120
396300,1116
183910,1093
128141,1091
7437,1082
638546,1037
596689,1007
95810,987
15770,986
32638,979
229410,944
28804,940
10583,929
63485,731
403105,724
20972,724
19772,720
2615075,719
45691,704
186868,688
7376,687
238877,658
598683,649
54017,649
262618,644
2225682,635
55562,626
594589,599
70605,599
1267329,592
2387772,581
327317,579
2395796,566
136008,566
72247,564
188955,558
2337736,548
63841,545
911519,531
630877,504
118903,503
165603,501
205508,497
189179,491
2624511,488
89391,481
218196,479
461343,478
842935,471
1200865,459
1863627,458
2611,452
1566605,446
143280,445
16417,444
2089625,439
830012,435
26592,434
194311,430
255918,423
860103,419
41316,419
473232,418
65696,416
42188,416
190597,414
137902,412
873145,411
140185,410
485844,409
548165,407
79225,400
28070,398
635411,396
6946,396
105043,394
644434,392
176186,392
420357,388
359284,387
22445,385
114672,379
21279,378
65490,376
211960,372
286432,370
174709,369
