9951,18496
190597,13440
100297,11514
16417,8081
104349,7359
325565,7309
20862,6866
1199,6506
893,6487
279627,6089
4279,5969
487339,5691
174728,5623
14343,5406
95810,5339
416467,4976
7432,4936
1427416,4804
20670,4575
61974,4563
748858,4492
166749,4385
367273,4382
42346,4197
541136,4100
216074,3918
12855,3915
846892,3909
674039,3885
449449,3812
1057,3638
35070,3612
218196,3502
771848,3454
148870,3448
1240268,3398
10661,3342
17160,3299
2225682,3221
505154,3197
8206,3149
577088,3098
1001643,3055
9530,3037
95612,2893
65696,2870
17624,2827
298479,2747
19082,2730
11465,2680
464744,2672
395760,2648
25050,2611
126042,2602
2555451,2599
42973,2593
1694,2565
1903116,2559
18515,2528
2147,2488
5987,2486
3923281,2465
309308,2441
1252759,2433
7980,2419
97828,2377
5536,2368
2357112,2364
113962,2353
135978,2343
429,2315
704848,2295
126214,2279
398968,2276
107660,2274
790387,2244
224671,2238
28169,2238
235698,2181
90308,2175
145403,2153
18936,2129
84270,2098
908494,2071
89391,2070
106979,2066
201359,2054
510937,2023
1217358,1947
118903,1945
644898,1931
110026,1920
15055,1912
3001761,1899
16102,1888
102302,1886
72247,1885
2141635,1871
500584,1870
776560,1868
